sensor_id,temperature,vibration,pressure,timestamp
SENSOR_879,80.7,0.7796,989.13,2026-03-18 18:51:34
SENSOR_231,26.52,1.4922,901.75,2026-03-18 18:51:34
SENSOR_634,69.48,1.1592,907.34,2026-03-18 18:51:34
SENSOR_757,95.42,0.8518,1087.9,2026-03-18 18:51:34
SENSOR_446,48.77,4.0888,942.4,2026-03-18 18:51:34
SENSOR_766,88.34,0.3762,997.2,2026-03-18 18:51:34
SENSOR_521,67.99,4.9953,1064.83,2026-03-18 18:51:34
SENSOR_701,79.79,4.2162,1006.82,2026-03-18 18:51:34
SENSOR_507,54.62,2.2637,906.54,2026-03-18 18:51:34
SENSOR_905,36.14,1.1486,1053.19,2026-03-18 18:51:34
SENSOR_161,60.59,1.6372,1095.6,2026-03-18 18:51:34
SENSOR_659,95.77,1.5826,920.63,2026-03-18 18:51:34
SENSOR_378,75.22,4.8854,992.0,2026-03-18 18:51:34
SENSOR_540,67.86,3.6675,912.39,2026-03-18 18:51:34
SENSOR_907,45.8,3.8355,1083.9,2026-03-18 18:51:34
SENSOR_735,56.4,2.0757,1045.2,2026-03-18 18:51:34
SENSOR_397,37.75,3.9774,948.81,2026-03-18 18:51:34
SENSOR_141,83.47,4.5474,980.84,2026-03-18 18:51:34
SENSOR_569,48.29,3.0154,942.62,2026-03-18 18:51:34
SENSOR_407,92.44,4.1799,1081.8,2026-03-18 18:51:34
SENSOR_589,58.52,0.3706,1023.7,2026-03-18 18:51:34
SENSOR_691,86.59,0.559,1067.54,2026-03-18 18:51:34
SENSOR_599,29.01,2.5926,991.41,2026-03-18 18:51:34
SENSOR_807,53.95,0.8025,963.87,2026-03-18 18:51:34
SENSOR_928,69.23,2.4646,983.2,2026-03-18 18:51:34
SENSOR_176,64.84,3.8035,1061.89,2026-03-18 18:51:34
SENSOR_976,71.58,0.8143,1037.46,2026-03-18 18:51:34
SENSOR_923,79.49,2.1212,918.2,2026-03-18 18:51:34
SENSOR_551,72.29,0.4968,1011.29,2026-03-18 18:51:34
SENSOR_414,69.42,4.5832,921.61,2026-03-18 18:51:34
SENSOR_951,87.65,2.5246,951.29,2026-03-18 18:51:34
SENSOR_492,42.68,3.6086,1056.7,2026-03-18 18:51:34
SENSOR_529,72.59,3.7214,1082.12,2026-03-18 18:51:34
SENSOR_588,22.06,1.4777,1042.8,2026-03-18 18:51:34
SENSOR_733,77.38,0.1244,1051.32,2026-03-18 18:51:34
SENSOR_160,57.51,3.75,982.94,2026-03-18 18:51:34
SENSOR_960,51.6,3.5682,947.8,2026-03-18 18:51:34
SENSOR_190,31.08,4.0951,988.7,2026-03-18 18:51:34
SENSOR_608,29.36,3.8969,952.04,2026-03-18 18:51:34
SENSOR_878,45.23,4.1543,955.02,2026-03-18 18:51:34
SENSOR_668,51.52,2.3233,949.36,2026-03-18 18:51:34
SENSOR_802,39.88,3.2181,1071.94,2026-03-18 18:51:34
SENSOR_502,86.58,0.8751,943.42,2026-03-18 18:51:34
SENSOR_231,78.5,2.5282,1015.77,2026-03-18 18:51:34
SENSOR_109,87.19,4.5821,1027.57,2026-03-18 18:51:34
SENSOR_544,48.54,4.2584,991.63,2026-03-18 18:51:34
SENSOR_990,90.13,2.917,951.08,2026-03-18 18:51:34
SENSOR_780,64.43,3.8782,970.48,2026-03-18 18:51:34
SENSOR_354,72.86,3.3149,1095.78,2026-03-18 18:51:34
SENSOR_845,69.46,1.0068,988.56,2026-03-18 18:51:34
SENSOR_178,30.2,1.8701,1045.13,2026-03-18 18:51:34
SENSOR_811,61.24,4.1348,951.12,2026-03-18 18:51:34
SENSOR_178,46.49,1.4316,904.79,2026-03-18 18:51:34
SENSOR_202,36.63,1.1543,994.71,2026-03-18 18:51:34
SENSOR_842,54.21,0.6425,1028.7,2026-03-18 18:51:34
SENSOR_384,88.58,0.9412,1008.14,2026-03-18 18:51:34
SENSOR_848,69.39,2.1684,996.62,2026-03-18 18:51:34
SENSOR_568,56.2,2.4811,997.57,2026-03-18 18:51:34
SENSOR_552,20.08,1.2769,1066.74,2026-03-18 18:51:34
SENSOR_879,35.2,4.2973,1059.43,2026-03-18 18:51:34
SENSOR_808,83.17,0.3607,1037.75,2026-03-18 18:51:34
SENSOR_379,98.26,3.0986,1063.28,2026-03-18 18:51:34
SENSOR_556,57.16,4.3235,1097.01,2026-03-18 18:51:34
SENSOR_538,31.9,4.7639,991.02,2026-03-18 18:51:34
SENSOR_894,21.82,4.743,947.0,2026-03-18 18:51:34
SENSOR_403,28.17,0.3381,936.23,2026-03-18 18:51:34
SENSOR_343,93.51,0.4478,950.23,2026-03-18 18:51:34
SENSOR_173,45.16,0.3723,908.07,2026-03-18 18:51:34
SENSOR_434,68.13,2.2125,973.08,2026-03-18 18:51:34
SENSOR_600,28.5,4.9051,905.84,2026-03-18 18:51:34
SENSOR_773,45.47,2.2446,1048.32,2026-03-18 18:51:34
SENSOR_597,47.4,1.4483,1016.44,2026-03-18 18:51:34
SENSOR_991,95.37,1.443,903.55,2026-03-18 18:51:34
SENSOR_898,86.67,1.8021,1005.0,2026-03-18 18:51:34
SENSOR_560,74.71,0.1533,939.07,2026-03-18 18:51:34
SENSOR_202,69.23,4.7575,941.7,2026-03-18 18:51:34
SENSOR_433,98.11,2.917,910.2,2026-03-18 18:51:34
SENSOR_539,77.66,3.0275,917.95,2026-03-18 18:51:34
SENSOR_717,35.55,3.7435,1030.15,2026-03-18 18:51:34
SENSOR_121,99.05,4.0967,902.78,2026-03-18 18:51:34
SENSOR_817,66.85,4.5347,1064.2,2026-03-18 18:51:34
SENSOR_232,71.88,3.4857,953.76,2026-03-18 18:51:34
SENSOR_917,85.53,0.7741,1062.47,2026-03-18 18:51:34
SENSOR_478,73.29,1.7268,977.11,2026-03-18 18:51:34
SENSOR_756,77.5,3.6658,954.05,2026-03-18 18:51:34
SENSOR_690,69.69,2.7702,1010.46,2026-03-18 18:51:34
SENSOR_980,91.07,0.3502,974.77,2026-03-18 18:51:34
SENSOR_111,48.93,3.0095,1069.83,2026-03-18 18:51:34
SENSOR_667,71.7,4.4344,919.71,2026-03-18 18:51:34
SENSOR_924,33.07,0.4715,1065.73,2026-03-18 18:51:34
SENSOR_588,72.78,4.7066,1077.26,2026-03-18 18:51:34
SENSOR_910,72.91,1.9617,952.28,2026-03-18 18:51:34
SENSOR_705,41.2,1.9857,958.97,2026-03-18 18:51:34
SENSOR_666,86.06,0.8506,1040.37,2026-03-18 18:51:34
SENSOR_314,95.44,2.5438,1094.24,2026-03-18 18:51:34
SENSOR_911,51.49,1.2969,1031.1,2026-03-18 18:51:34
SENSOR_388,49.01,3.5879,923.61,2026-03-18 18:51:34
SENSOR_719,28.5,1.4929,921.64,2026-03-18 18:51:34
SENSOR_862,72.07,1.3757,970.41,2026-03-18 18:51:34
SENSOR_804,50.74,2.7685,902.69,2026-03-18 18:51:34
SENSOR_723,44.83,0.8266,987.39,2026-03-18 18:51:34
SENSOR_664,94.29,1.6885,1028.49,2026-03-18 18:51:34
SENSOR_918,67.84,2.2488,1058.44,2026-03-18 18:51:34
SENSOR_905,99.38,3.7115,938.27,2026-03-18 18:51:34
SENSOR_660,94.71,2.9158,963.6,2026-03-18 18:51:34
SENSOR_827,48.01,4.8327,924.61,2026-03-18 18:51:34
SENSOR_324,77.5,1.6568,1033.88,2026-03-18 18:51:34
SENSOR_502,85.38,2.3279,1092.4,2026-03-18 18:51:34
