sensor_id,temperature,vibration,pressure,timestamp
SENSOR_831,22.84,1.024,944.55,2026-03-18 17:51:26
SENSOR_664,76.71,1.011,987.58,2026-03-18 17:51:26
SENSOR_255,30.58,0.4751,1030.53,2026-03-18 17:51:26
SENSOR_434,69.12,4.9992,1018.54,2026-03-18 17:51:26
SENSOR_825,45.67,0.108,978.43,2026-03-18 17:51:26
SENSOR_659,74.12,1.3611,1003.2,2026-03-18 17:51:26
SENSOR_378,84.69,4.5748,1028.17,2026-03-18 17:51:26
SENSOR_643,60.75,1.8398,1086.84,2026-03-18 17:51:26
SENSOR_983,58.16,1.7183,1010.34,2026-03-18 17:51:26
SENSOR_902,70.01,0.7656,1024.58,2026-03-18 17:51:26
SENSOR_852,72.33,1.9874,1011.41,2026-03-18 17:51:26
SENSOR_262,81.15,4.5857,935.2,2026-03-18 17:51:26
SENSOR_380,61.52,0.5125,971.9,2026-03-18 17:51:26
SENSOR_757,67.25,4.4206,993.43,2026-03-18 17:51:26
SENSOR_513,68.8,3.4775,1032.18,2026-03-18 17:51:26
SENSOR_199,51.87,0.3338,929.21,2026-03-18 17:51:26
SENSOR_431,51.24,4.022,986.52,2026-03-18 17:51:26
SENSOR_720,49.79,2.368,912.9,2026-03-18 17:51:26
SENSOR_505,25.3,1.1764,908.41,2026-03-18 17:51:26
SENSOR_321,27.33,3.0599,1066.38,2026-03-18 17:51:26
SENSOR_578,25.14,1.8946,959.96,2026-03-18 17:51:26
SENSOR_137,52.52,2.8922,991.59,2026-03-18 17:51:26
SENSOR_646,23.9,3.8266,977.66,2026-03-18 17:51:26
SENSOR_345,38.31,3.7182,963.36,2026-03-18 17:51:26
SENSOR_960,97.36,1.1125,1002.48,2026-03-18 17:51:26
SENSOR_564,92.14,0.6144,1092.37,2026-03-18 17:51:26
SENSOR_944,68.23,0.6597,952.6,2026-03-18 17:51:26
SENSOR_333,50.63,2.208,1068.34,2026-03-18 17:51:26
SENSOR_201,83.6,4.5038,1063.65,2026-03-18 17:51:26
SENSOR_738,33.72,4.3332,1099.76,2026-03-18 17:51:26
SENSOR_927,80.64,2.2808,1088.9,2026-03-18 17:51:26
SENSOR_967,98.77,3.2904,1021.35,2026-03-18 17:51:26
SENSOR_419,46.18,4.2757,1089.93,2026-03-18 17:51:26
SENSOR_451,91.38,0.1824,1055.55,2026-03-18 17:51:26
SENSOR_664,23.52,1.9606,1045.48,2026-03-18 17:51:26
SENSOR_250,90.94,1.02,1086.39,2026-03-18 17:51:26
SENSOR_720,38.01,1.6846,1097.28,2026-03-18 17:51:26
SENSOR_283,44.82,1.0984,1064.58,2026-03-18 17:51:26
SENSOR_334,99.78,1.0718,969.76,2026-03-18 17:51:26
SENSOR_391,31.41,4.3975,1061.4,2026-03-18 17:51:26
SENSOR_611,87.07,2.2343,916.53,2026-03-18 17:51:26
SENSOR_882,65.63,4.765,1027.52,2026-03-18 17:51:26
SENSOR_490,72.36,3.3456,1071.37,2026-03-18 17:51:26
SENSOR_951,69.09,1.5058,1058.11,2026-03-18 17:51:26
SENSOR_689,42.77,1.1359,986.9,2026-03-18 17:51:26
SENSOR_605,70.9,0.5835,1015.26,2026-03-18 17:51:26
SENSOR_206,72.65,2.5655,1006.2,2026-03-18 17:51:26
SENSOR_313,87.39,3.7419,1005.29,2026-03-18 17:51:26
SENSOR_236,73.01,1.9337,972.6,2026-03-18 17:51:26
SENSOR_208,67.47,0.3476,932.8,2026-03-18 17:51:26
SENSOR_164,70.41,1.634,1039.36,2026-03-18 17:51:26
SENSOR_381,28.34,2.273,1074.25,2026-03-18 17:51:26
SENSOR_219,34.95,4.7972,947.4,2026-03-18 17:51:26
SENSOR_290,84.77,4.2464,936.61,2026-03-18 17:51:26
SENSOR_910,77.15,4.6628,1086.77,2026-03-18 17:51:26
SENSOR_573,84.72,1.444,926.21,2026-03-18 17:51:26
SENSOR_429,55.95,3.0043,947.13,2026-03-18 17:51:26
SENSOR_842,49.56,1.4804,902.37,2026-03-18 17:51:26
SENSOR_621,21.08,4.8901,1090.28,2026-03-18 17:51:26
SENSOR_550,35.46,1.1088,978.18,2026-03-18 17:51:26
SENSOR_793,74.87,4.0047,1083.7,2026-03-18 17:51:26
SENSOR_547,65.61,4.0754,977.54,2026-03-18 17:51:26
SENSOR_765,73.52,3.3057,982.45,2026-03-18 17:51:26
SENSOR_856,95.55,4.6433,923.93,2026-03-18 17:51:26
SENSOR_189,81.16,4.1862,1051.59,2026-03-18 17:51:26
SENSOR_543,55.89,1.9431,969.64,2026-03-18 17:51:26
SENSOR_587,42.66,3.6568,961.64,2026-03-18 17:51:26
SENSOR_916,71.14,3.0145,909.05,2026-03-18 17:51:26
SENSOR_500,94.17,4.6326,1010.05,2026-03-18 17:51:26
