sensor_id,temperature,vibration,pressure,timestamp
SENSOR_470,35.9,3.0724,958.32,2026-03-18 18:21:30
SENSOR_244,85.73,1.4048,934.52,2026-03-18 18:21:30
SENSOR_632,49.21,4.8835,988.3,2026-03-18 18:21:30
SENSOR_273,75.21,0.8369,910.79,2026-03-18 18:21:30
SENSOR_551,53.43,0.9871,950.12,2026-03-18 18:21:30
SENSOR_399,27.7,2.2712,973.04,2026-03-18 18:21:30
SENSOR_298,60.41,3.1185,988.29,2026-03-18 18:21:30
SENSOR_586,86.98,1.0289,905.84,2026-03-18 18:21:30
SENSOR_194,25.98,3.7705,1049.97,2026-03-18 18:21:30
SENSOR_374,69.1,4.1901,943.26,2026-03-18 18:21:30
SENSOR_478,26.88,0.5854,916.57,2026-03-18 18:21:30
SENSOR_723,44.58,1.9282,949.17,2026-03-18 18:21:30
SENSOR_852,81.82,0.737,912.05,2026-03-18 18:21:30
SENSOR_688,92.03,4.7884,981.11,2026-03-18 18:21:30
SENSOR_777,20.54,3.6896,960.8,2026-03-18 18:21:30
SENSOR_917,20.85,1.7617,996.05,2026-03-18 18:21:30
SENSOR_318,58.48,3.2072,1057.51,2026-03-18 18:21:30
SENSOR_510,99.61,1.1193,922.33,2026-03-18 18:21:30
SENSOR_304,71.75,0.7763,1063.08,2026-03-18 18:21:30
SENSOR_512,75.37,4.284,1004.12,2026-03-18 18:21:30
SENSOR_789,38.31,0.2181,909.35,2026-03-18 18:21:30
SENSOR_260,22.84,0.8314,1061.14,2026-03-18 18:21:30
SENSOR_177,75.52,3.7356,954.56,2026-03-18 18:21:30
SENSOR_364,31.37,1.4036,924.13,2026-03-18 18:21:30
SENSOR_131,40.07,2.9588,996.25,2026-03-18 18:21:30
SENSOR_476,31.41,3.3147,993.95,2026-03-18 18:21:30
SENSOR_986,89.34,4.9854,909.72,2026-03-18 18:21:30
SENSOR_724,50.77,4.5479,910.19,2026-03-18 18:21:30
SENSOR_933,95.25,4.7879,1043.15,2026-03-18 18:21:30
SENSOR_803,75.91,1.0736,1093.06,2026-03-18 18:21:30
SENSOR_966,69.89,2.098,1082.41,2026-03-18 18:21:30
SENSOR_172,98.36,3.1534,1086.42,2026-03-18 18:21:30
SENSOR_400,52.05,4.6213,928.26,2026-03-18 18:21:30
SENSOR_542,25.94,3.6039,980.45,2026-03-18 18:21:30
